Mã tài sản,Tên,Tòa,Khu vực,Tình trạng trước,Tình trạng hiện tại,Người kiểm kê,Ngày kiểm kê,Trạng thái,Ghi chú
TS-0029,Tủ quần áo,Tòa Moonlight,B.05.02,Bình thường,,,,Chưa kiểm kê,
TS-0030,Bình nóng lạnh,Tòa Moonlight,B.05.02,Bình thường,,,,Chưa kiểm kê,
TS-0031,Giường ngủ,Tòa Sunrise,A.09.01,Bình thường,,,,Chưa kiểm kê,
TS-0032,Máy lạnh,Tòa Sunrise,A.09.01,Bình thường,,,,Chưa kiểm kê,
TS-0033,Tủ quần áo,Tòa Sunrise,A.09.01,Bình thường,,,,Chưa kiểm kê,
TS-0034,Bình nóng lạnh,Tòa Sunrise,A.09.01,Bình thường,,,,Chưa kiểm kê,
TS-0035,Giường ngủ,Tòa Moonlight,B.12.05,Bình thường,,,,Chưa kiểm kê,
TS-0036,Máy lạnh,Tòa Moonlight,B.12.05,Bình thường,,,,Chưa kiểm kê,
TS-0037,Tủ quần áo,Tòa Moonlight,B.12.05,Bình thường,,,,Chưa kiểm kê,
TS-0038,Bình nóng lạnh,Tòa Moonlight,B.12.05,Bình thường,,,,Chưa kiểm kê,
TS-0039,Giường ngủ,Tòa Riverside,C.06.10,Bình thường,,,,Chưa kiểm kê,
TS-0040,Máy lạnh,Tòa Riverside,C.06.10,Bình thường,,,,Chưa kiểm kê,
TS-0041,Tủ quần áo,Tòa Riverside,C.06.10,Bình thường,,,,Chưa kiểm kê,
TS-0042,Bình nóng lạnh,Tòa Riverside,C.06.10,Bình thường,,,,Chưa kiểm kê,
TS-0043,Giường ngủ,Tòa Central,D.10.03,Bình thường,,,,Chưa kiểm kê,
TS-0044,Máy lạnh,Tòa Central,D.10.03,Bình thường,,,,Chưa kiểm kê,
TS-0045,Tủ quần áo,Tòa Central,D.10.03,Bình thường,,,,Chưa kiểm kê,
TS-0046,Bình nóng lạnh,Tòa Central,D.10.03,Bình thường,,,,Chưa kiểm kê,
TS-0047,Giường ngủ,Tòa Sunrise,A.04.07,Bình thường,,,,Chưa kiểm kê,
TS-0048,Máy lạnh,Tòa Sunrise,A.04.07,Bình thường,,,,Chưa kiểm kê,
TS-0049,Tủ quần áo,Tòa Sunrise,A.04.07,Bình thường,,,,Chưa kiểm kê,
TS-0050,Bình nóng lạnh,Tòa Sunrise,A.04.07,Bình thường,,,,Chưa kiểm kê,
TS-0051,Giường ngủ,Tòa Sunrise,A.11.02,Bình thường,,,,Chưa kiểm kê,
TS-0052,Máy lạnh,Tòa Sunrise,A.11.02,Bình thường,,,,Chưa kiểm kê,
TS-0053,Tủ quần áo,Tòa Sunrise,A.11.02,Bình thường,,,,Chưa kiểm kê,
TS-0054,Bình nóng lạnh,Tòa Sunrise,A.11.02,Bình thường,,,,Chưa kiểm kê,
TS-0055,Giường ngủ,Tòa Sunrise,A.16.08,Bình thường,,,,Chưa kiểm kê,
TS-0056,Máy lạnh,Tòa Sunrise,A.16.08,Bình thường,,,,Chưa kiểm kê,
TS-0057,Tủ quần áo,Tòa Sunrise,A.16.08,Bình thường,,,,Chưa kiểm kê,
TS-0058,Bình nóng lạnh,Tòa Sunrise,A.16.08,Bình thường,,,,Chưa kiểm kê,
TS-0059,Giường ngủ,Tòa Sunrise,A.01.01,Bình thường,,,,Chưa kiểm kê,
TS-0060,Máy lạnh,Tòa Sunrise,A.01.01,Bình thường,,,,Chưa kiểm kê,
TS-0061,Tủ quần áo,Tòa Sunrise,A.01.01,Bình thường,,,,Chưa kiểm kê,
TS-0062,Giường ngủ,Tòa Sunrise,A.01.02,Bình thường,,,,Chưa kiểm kê,
TS-0063,Máy lạnh,Tòa Sunrise,A.01.02,Bình thường,,,,Chưa kiểm kê,
TS-0064,Tủ quần áo,Tòa Sunrise,A.01.02,Bình thường,,,,Chưa kiểm kê,
TS-0065,Giường ngủ,Tòa Sunrise,A.01.03,Bình thường,,,,Chưa kiểm kê,
TS-0066,Máy lạnh,Tòa Sunrise,A.01.03,Bình thường,,,,Chưa kiểm kê,
TS-0067,Tủ quần áo,Tòa Sunrise,A.01.03,Bình thường,,,,Chưa kiểm kê,
TS-0068,Giường ngủ,Tòa Sunrise,A.01.04,Bình thường,,,,Chưa kiểm kê,
TS-0069,Máy lạnh,Tòa Sunrise,A.01.04,Bình thường,,,,Chưa kiểm kê,
TS-0070,Tủ quần áo,Tòa Sunrise,A.01.04,Bình thường,,,,Chưa kiểm kê,
TS-0071,Giường ngủ,Tòa Sunrise,A.01.05,Bình thường,,,,Chưa kiểm kê,
TS-0072,Máy lạnh,Tòa Sunrise,A.01.05,Bình thường,,,,Chưa kiểm kê,
TS-0073,Tủ quần áo,Tòa Sunrise,A.01.05,Bình thường,,,,Chưa kiểm kê,
TS-0074,Giường ngủ,Tòa Sunrise,A.02.01,Bình thường,,,,Chưa kiểm kê,
TS-0075,Máy lạnh,Tòa Sunrise,A.02.01,Bình thường,,,,Chưa kiểm kê,
TS-0076,Tủ quần áo,Tòa Sunrise,A.02.01,Bình thường,,,,Chưa kiểm kê,
TS-0077,Giường ngủ,Tòa Sunrise,A.02.02,Bình thường,,,,Chưa kiểm kê,
TS-0078,Máy lạnh,Tòa Sunrise,A.02.02,Bình thường,,,,Chưa kiểm kê,
TS-0079,Tủ quần áo,Tòa Sunrise,A.02.02,Bình thường,,,,Chưa kiểm kê,
TS-0080,Giường ngủ,Tòa Sunrise,A.02.03,Bình thường,,,,Chưa kiểm kê,
TS-0081,Máy lạnh,Tòa Sunrise,A.02.03,Bình thường,,,,Chưa kiểm kê,
TS-0082,Tủ quần áo,Tòa Sunrise,A.02.03,Bình thường,,,,Chưa kiểm kê,
TS-0083,Giường ngủ,Tòa Sunrise,A.02.04,Bình thường,,,,Chưa kiểm kê,
TS-0084,Máy lạnh,Tòa Sunrise,A.02.04,Bình thường,,,,Chưa kiểm kê,
TS-0085,Tủ quần áo,Tòa Sunrise,A.02.04,Bình thường,,,,Chưa kiểm kê,
TS-0086,Giường ngủ,Tòa Sunrise,A.02.05,Bình thường,,,,Chưa kiểm kê,
TS-0087,Máy lạnh,Tòa Sunrise,A.02.05,Bình thường,,,,Chưa kiểm kê,
TS-0088,Tủ quần áo,Tòa Sunrise,A.02.05,Bình thường,,,,Chưa kiểm kê,
TS-0089,Giường ngủ,Tòa Sunrise,A.03.01,Bình thường,,,,Chưa kiểm kê,
TS-0090,Máy lạnh,Tòa Sunrise,A.03.01,Bình thường,,,,Chưa kiểm kê,
TS-0091,Tủ quần áo,Tòa Sunrise,A.03.01,Bình thường,,,,Chưa kiểm kê,
TS-0092,Giường ngủ,Tòa Sunrise,A.03.02,Bình thường,,,,Chưa kiểm kê,
TS-0093,Máy lạnh,Tòa Sunrise,A.03.02,Bình thường,,,,Chưa kiểm kê,
TS-0094,Tủ quần áo,Tòa Sunrise,A.03.02,Bình thường,,,,Chưa kiểm kê,
TS-0095,Giường ngủ,Tòa Sunrise,A.03.03,Bình thường,,,,Chưa kiểm kê,
TS-0096,Máy lạnh,Tòa Sunrise,A.03.03,Bình thường,,,,Chưa kiểm kê,
TS-0097,Tủ quần áo,Tòa Sunrise,A.03.03,Bình thường,,,,Chưa kiểm kê,
TS-0098,Giường ngủ,Tòa Sunrise,A.03.04,Bình thường,,,,Chưa kiểm kê,
TS-0099,Máy lạnh,Tòa Sunrise,A.03.04,Bình thường,,,,Chưa kiểm kê,
TS-0100,Tủ quần áo,Tòa Sunrise,A.03.04,Bình thường,,,,Chưa kiểm kê,
TS-0101,Giường ngủ,Tòa Sunrise,A.03.05,Bình thường,,,,Chưa kiểm kê,
TS-0102,Máy lạnh,Tòa Sunrise,A.03.05,Bình thường,,,,Chưa kiểm kê,
TS-0103,Tủ quần áo,Tòa Sunrise,A.03.05,Bình thường,,,,Chưa kiểm kê,
TS-0104,Giường ngủ,Tòa Sunrise,A.04.01,Bình thường,,,,Chưa kiểm kê,
TS-0105,Máy lạnh,Tòa Sunrise,A.04.01,Bình thường,,,,Chưa kiểm kê,
TS-0106,Tủ quần áo,Tòa Sunrise,A.04.01,Bình thường,,,,Chưa kiểm kê,
TS-0107,Giường ngủ,Tòa Sunrise,A.04.02,Bình thường,,,,Chưa kiểm kê,
TS-0108,Máy lạnh,Tòa Sunrise,A.04.02,Bình thường,,,,Chưa kiểm kê,
TS-0109,Tủ quần áo,Tòa Sunrise,A.04.02,Bình thường,,,,Chưa kiểm kê,
TS-0110,Giường ngủ,Tòa Sunrise,A.04.03,Bình thường,,,,Chưa kiểm kê,
TS-0111,Máy lạnh,Tòa Sunrise,A.04.03,Bình thường,,,,Chưa kiểm kê,
TS-0112,Tủ quần áo,Tòa Sunrise,A.04.03,Bình thường,,,,Chưa kiểm kê,
TS-0113,Giường ngủ,Tòa Sunrise,A.04.04,Bình thường,,,,Chưa kiểm kê,
TS-0114,Máy lạnh,Tòa Sunrise,A.04.04,Bình thường,,,,Chưa kiểm kê,
TS-0115,Tủ quần áo,Tòa Sunrise,A.04.04,Bình thường,,,,Chưa kiểm kê,
TS-0116,Giường ngủ,Tòa Sunrise,A.04.05,Bình thường,,,,Chưa kiểm kê,
TS-0117,Máy lạnh,Tòa Sunrise,A.04.05,Bình thường,,,,Chưa kiểm kê,
TS-0118,Tủ quần áo,Tòa Sunrise,A.04.05,Bình thường,,,,Chưa kiểm kê,
TS-0119,Giường ngủ,Tòa Sunrise,A.05.01,Bình thường,,,,Chưa kiểm kê,
TS-0120,Máy lạnh,Tòa Sunrise,A.05.01,Bình thường,,,,Chưa kiểm kê,
TS-0121,Tủ quần áo,Tòa Sunrise,A.05.01,Bình thường,,,,Chưa kiểm kê,
TS-0122,Giường ngủ,Tòa Sunrise,A.05.02,Bình thường,,,,Chưa kiểm kê,
TS-0123,Máy lạnh,Tòa Sunrise,A.05.02,Bình thường,,,,Chưa kiểm kê,
TS-0124,Tủ quần áo,Tòa Sunrise,A.05.02,Bình thường,,,,Chưa kiểm kê,
TS-0125,Giường ngủ,Tòa Sunrise,A.05.03,Bình thường,,,,Chưa kiểm kê,
TS-0126,Máy lạnh,Tòa Sunrise,A.05.03,Bình thường,,,,Chưa kiểm kê,
TS-0127,Tủ quần áo,Tòa Sunrise,A.05.03,Bình thường,,,,Chưa kiểm kê,
TS-0128,Giường ngủ,Tòa Sunrise,A.05.04,Bình thường,,,,Chưa kiểm kê,
TS-0129,Máy lạnh,Tòa Sunrise,A.05.04,Bình thường,,,,Chưa kiểm kê,
TS-0130,Tủ quần áo,Tòa Sunrise,A.05.04,Bình thường,,,,Chưa kiểm kê,
TS-0131,Giường ngủ,Tòa Sunrise,A.05.05,Bình thường,,,,Chưa kiểm kê,
TS-0132,Máy lạnh,Tòa Sunrise,A.05.05,Bình thường,,,,Chưa kiểm kê,
TS-0133,Tủ quần áo,Tòa Sunrise,A.05.05,Bình thường,,,,Chưa kiểm kê,
TS-0134,Giường ngủ,Tòa Sunrise,A.06.01,Bình thường,,,,Chưa kiểm kê,
TS-0135,Máy lạnh,Tòa Sunrise,A.06.01,Bình thường,,,,Chưa kiểm kê,
TS-0136,Tủ quần áo,Tòa Sunrise,A.06.01,Bình thường,,,,Chưa kiểm kê,
TS-0137,Giường ngủ,Tòa Sunrise,A.06.02,Bình thường,,,,Chưa kiểm kê,
TS-0138,Máy lạnh,Tòa Sunrise,A.06.02,Bình thường,,,,Chưa kiểm kê,
TS-0139,Tủ quần áo,Tòa Sunrise,A.06.02,Bình thường,,,,Chưa kiểm kê,
TS-0140,Giường ngủ,Tòa Sunrise,A.06.03,Bình thường,,,,Chưa kiểm kê,
TS-0141,Máy lạnh,Tòa Sunrise,A.06.03,Bình thường,,,,Chưa kiểm kê,
TS-0142,Tủ quần áo,Tòa Sunrise,A.06.03,Bình thường,,,,Chưa kiểm kê,
TS-0143,Giường ngủ,Tòa Sunrise,A.06.04,Bình thường,,,,Chưa kiểm kê,
TS-0144,Máy lạnh,Tòa Sunrise,A.06.04,Bình thường,,,,Chưa kiểm kê,
TS-0145,Tủ quần áo,Tòa Sunrise,A.06.04,Bình thường,,,,Chưa kiểm kê,
TS-0146,Giường ngủ,Tòa Sunrise,A.06.05,Bình thường,,,,Chưa kiểm kê,
TS-0147,Máy lạnh,Tòa Sunrise,A.06.05,Bình thường,,,,Chưa kiểm kê,
TS-0148,Tủ quần áo,Tòa Sunrise,A.06.05,Bình thường,,,,Chưa kiểm kê,
TS-0149,Giường ngủ,Tòa Sunrise,A.07.01,Bình thường,,,,Chưa kiểm kê,
TS-0150,Máy lạnh,Tòa Sunrise,A.07.01,Bình thường,,,,Chưa kiểm kê,
TS-0151,Tủ quần áo,Tòa Sunrise,A.07.01,Bình thường,,,,Chưa kiểm kê,
TS-0152,Giường ngủ,Tòa Sunrise,A.07.02,Bình thường,,,,Chưa kiểm kê,
TS-0153,Máy lạnh,Tòa Sunrise,A.07.02,Bình thường,,,,Chưa kiểm kê,
TS-0154,Tủ quần áo,Tòa Sunrise,A.07.02,Bình thường,,,,Chưa kiểm kê,
TS-0155,Giường ngủ,Tòa Sunrise,A.07.03,Bình thường,,,,Chưa kiểm kê,
TS-0156,Máy lạnh,Tòa Sunrise,A.07.03,Bình thường,,,,Chưa kiểm kê,
TS-0157,Tủ quần áo,Tòa Sunrise,A.07.03,Bình thường,,,,Chưa kiểm kê,
TS-0158,Giường ngủ,Tòa Sunrise,A.07.04,Bình thường,,,,Chưa kiểm kê,
TS-0159,Máy lạnh,Tòa Sunrise,A.07.04,Bình thường,,,,Chưa kiểm kê,
TS-0160,Tủ quần áo,Tòa Sunrise,A.07.04,Bình thường,,,,Chưa kiểm kê,
TS-0161,Giường ngủ,Tòa Sunrise,A.07.05,Bình thường,,,,Chưa kiểm kê,
TS-0162,Máy lạnh,Tòa Sunrise,A.07.05,Bình thường,,,,Chưa kiểm kê,
TS-0163,Tủ quần áo,Tòa Sunrise,A.07.05,Bình thường,,,,Chưa kiểm kê,
TS-0164,Giường ngủ,Tòa Sunrise,A.08.01,Bình thường,,,,Chưa kiểm kê,
TS-0165,Máy lạnh,Tòa Sunrise,A.08.01,Bình thường,,,,Chưa kiểm kê,
TS-0166,Tủ quần áo,Tòa Sunrise,A.08.01,Bình thường,,,,Chưa kiểm kê,
TS-0167,Giường ngủ,Tòa Sunrise,A.08.02,Bình thường,,,,Chưa kiểm kê,
TS-0168,Máy lạnh,Tòa Sunrise,A.08.02,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0169,Tủ quần áo,Tòa Sunrise,A.08.02,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0170,Giường ngủ,Tòa Sunrise,A.08.03,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0171,Máy lạnh,Tòa Sunrise,A.08.03,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0172,Tủ quần áo,Tòa Sunrise,A.08.03,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0173,Giường ngủ,Tòa Sunrise,A.08.04,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0174,Máy lạnh,Tòa Sunrise,A.08.04,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0175,Tủ quần áo,Tòa Sunrise,A.08.04,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0176,Giường ngủ,Tòa Sunrise,A.08.05,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0177,Máy lạnh,Tòa Sunrise,A.08.05,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0178,Tủ quần áo,Tòa Sunrise,A.08.05,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0179,Giường ngủ,Tòa Sunrise,A.09.02,Hỏng,,,,Chưa kiểm kê,
TS-0180,Máy lạnh,Tòa Sunrise,A.09.02,Cần thay thế,,,,Chưa kiểm kê,
TS-0181,Tủ quần áo,Tòa Sunrise,A.09.02,Cần thay thế,,,,Chưa kiểm kê,
TS-0182,Giường ngủ,Tòa Sunrise,A.09.03,Hỏng,,,,Chưa kiểm kê,
TS-0183,Máy lạnh,Tòa Sunrise,A.09.03,Cần thay thế,,,,Chưa kiểm kê,
TS-0184,Tủ quần áo,Tòa Sunrise,A.09.03,Cần thay thế,,,,Chưa kiểm kê,
TS-0185,Giường ngủ,Tòa Sunrise,A.09.04,Hỏng,,,,Chưa kiểm kê,
TS-0186,Máy lạnh,Tòa Sunrise,A.09.04,Cần thay thế,,,,Chưa kiểm kê,
TS-0187,Tủ quần áo,Tòa Sunrise,A.09.04,Cần thay thế,,,,Chưa kiểm kê,
TS-0188,Giường ngủ,Tòa Sunrise,A.09.05,Hỏng,,,,Chưa kiểm kê,
TS-0189,Máy lạnh,Tòa Sunrise,A.09.05,Cần thay thế,,,,Chưa kiểm kê,
TS-0190,Tủ quần áo,Tòa Sunrise,A.09.05,Cần thay thế,,,,Chưa kiểm kê,
TS-0191,Giường ngủ,Tòa Sunrise,A.10.01,Hỏng,,,,Chưa kiểm kê,
TS-0192,Máy lạnh,Tòa Sunrise,A.10.01,Cần thay thế,,,,Chưa kiểm kê,
TS-0193,Tủ quần áo,Tòa Sunrise,A.10.01,Cần thay thế,,,,Chưa kiểm kê,
TS-0194,Giường ngủ,Tòa Sunrise,A.10.02,Hỏng,,,,Chưa kiểm kê,
TS-0195,Máy lạnh,Tòa Sunrise,A.10.02,Bình thường,,,,Chưa kiểm kê,
TS-0196,Tủ quần áo,Tòa Sunrise,A.10.02,Bình thường,,,,Chưa kiểm kê,
TS-0197,Giường ngủ,Tòa Sunrise,A.10.03,Bình thường,,,,Chưa kiểm kê,
TS-0198,Máy lạnh,Tòa Sunrise,A.10.03,Bình thường,,,,Chưa kiểm kê,
TS-0199,Tủ quần áo,Tòa Sunrise,A.10.03,Bình thường,,,,Chưa kiểm kê,
TS-0200,Giường ngủ,Tòa Sunrise,A.10.04,Bình thường,,,,Chưa kiểm kê,
TS-0201,Máy lạnh,Tòa Sunrise,A.10.04,Bình thường,,,,Chưa kiểm kê,
TS-0202,Tủ quần áo,Tòa Sunrise,A.10.04,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0203,Giường ngủ,Tòa Sunrise,A.10.05,Bình thường,,,,Chưa kiểm kê,
TS-0204,Máy lạnh,Tòa Sunrise,A.10.05,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0205,Tủ quần áo,Tòa Sunrise,A.10.05,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0206,Giường ngủ,Tòa Sunrise,A.11.01,Bình thường,,,,Chưa kiểm kê,
TS-0207,Máy lạnh,Tòa Sunrise,A.11.01,Bình thường,,,,Chưa kiểm kê,
TS-0208,Tủ quần áo,Tòa Sunrise,A.11.01,Bình thường,,,,Chưa kiểm kê,
TS-0209,Giường ngủ,Tòa Sunrise,A.11.03,Bình thường,,,,Chưa kiểm kê,
TS-0210,Máy lạnh,Tòa Sunrise,A.11.03,Bình thường,,,,Chưa kiểm kê,
TS-0211,Tủ quần áo,Tòa Sunrise,A.11.03,Bình thường,,,,Chưa kiểm kê,
TS-0212,Giường ngủ,Tòa Sunrise,A.11.04,Bình thường,,,,Chưa kiểm kê,
TS-0213,Máy lạnh,Tòa Sunrise,A.11.04,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0214,Tủ quần áo,Tòa Sunrise,A.11.04,Bình thường,,,,Chưa kiểm kê,
TS-0215,Giường ngủ,Tòa Sunrise,A.11.05,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0216,Máy lạnh,Tòa Sunrise,A.11.05,Bình thường,,,,Chưa kiểm kê,
TS-0217,Tủ quần áo,Tòa Sunrise,A.11.05,Bình thường,,,,Chưa kiểm kê,
TS-0218,Giường ngủ,Tòa Sunrise,A.12.01,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0219,Máy lạnh,Tòa Sunrise,A.12.01,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0220,Tủ quần áo,Tòa Sunrise,A.12.01,Bình thường,,,,Chưa kiểm kê,
TS-0221,Giường ngủ,Tòa Sunrise,A.12.02,Bình thường,,,,Chưa kiểm kê,
TS-0222,Máy lạnh,Tòa Sunrise,A.12.02,Bình thường,,,,Chưa kiểm kê,
TS-0223,Tủ quần áo,Tòa Sunrise,A.12.02,Bình thường,,,,Chưa kiểm kê,
TS-0224,Giường ngủ,Tòa Sunrise,A.12.04,Bình thường,,,,Chưa kiểm kê,
TS-0225,Máy lạnh,Tòa Sunrise,A.12.04,Bình thường,,,,Chưa kiểm kê,
TS-0226,Tủ quần áo,Tòa Sunrise,A.12.04,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0227,Giường ngủ,Tòa Sunrise,A.12.05,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0228,Máy lạnh,Tòa Sunrise,A.12.05,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0229,Tủ quần áo,Tòa Sunrise,A.12.05,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0230,Camera an ninh,Tòa Sunrise,Khu vực chung,Bình thường,,,,Chưa kiểm kê,
TS-0231,Đèn chiếu sáng,Tòa Moonlight,Hành lang,Bình thường,,,,Chưa kiểm kê,
TS-0232,Bình chữa cháy,Tòa Riverside,Hành lang,Bình thường,,,,Chưa kiểm kê,
TS-0233,Máy bơm nước,Tòa Central,Khu kỹ thuật,Bình thường,,,,Chưa kiểm kê,
TS-0234,Máy lọc nước,Tòa Garden,Sảnh,Bình thường,,,,Chưa kiểm kê,
TS-0235,Máy giặt chung,Tòa Sunrise,Tầng thượng,Bình thường,,,,Chưa kiểm kê,
TS-0236,Đèn exit,Tòa Moonlight,Cầu thang,Bình thường,,,,Chưa kiểm kê,
TS-0237,Bàn lễ tân,Tòa Riverside,Sảnh tầng 1,Bình thường,,,,Chưa kiểm kê,
TS-0238,Sofa sảnh,Tòa Central,Sảnh tầng 1,Bình thường,,,,Chưa kiểm kê,
TS-0239,Tủ điện tầng,Tòa Garden,Khu kỹ thuật,Cần thay thế,,,,Chưa kiểm kê,
TS-0240,Điều hòa sảnh,Tòa Sunrise,Sảnh tầng 1,Bình thường,,,,Chưa kiểm kê,
TS-0241,Thang máy,Tòa Moonlight,Sảnh tầng 1,Bình thường,,,,Chưa kiểm kê,
TS-0242,Camera an ninh,Tòa Riverside,Khu vực chung,Bình thường,,,,Chưa kiểm kê,
TS-0243,Đèn chiếu sáng,Tòa Central,Hành lang,Bình thường,,,,Chưa kiểm kê,
TS-0244,Bình chữa cháy,Tòa Garden,Hành lang,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0245,Máy bơm nước,Tòa Sunrise,Khu kỹ thuật,Bình thường,,,,Chưa kiểm kê,
TS-0246,Máy lọc nước,Tòa Moonlight,Sảnh,Bình thường,,,,Chưa kiểm kê,
TS-0247,Máy giặt chung,Tòa Riverside,Tầng thượng,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0248,Đèn exit,Tòa Central,Cầu thang,Bình thường,,,,Chưa kiểm kê,
